uservip_degree,timepoint,content,opername,upcount
3,17,这一季观察室成员选的太好了，青春环游记+明星大侦探,,0
1,17,深深我来了,浅,0
6,17,每周必打卡致郁系节目,ベ☆小强呐,31
0,18,深深我来了,,0
1,18,深深~,,0
4,19,来看深深,哈哈桃,0
0,19,二刷,🉐🐛,0
6,19,啊啊啊啊啊啊啊啊啊啊啊啊啊来了,HF,0
1,19,来看深深,fish,0
0,20,广告不是吴吗,Heart＇,0
4,20,深深，我来了,,0
1,20,这冰茶代言人是谁,,0
5,21,深深，爸爸来了,dj98dx,2
0,21,居然还有签签,7,0
0,21,整齐,小宇宙,0
6,21,终于等到了,,0
0,22,这广告违规了吧,娜啊娜,0
3,22,时长可以,Y.,1
4,22,时长好评，i了i了,,0
0,22,考古深深,．猫紫丶~♪,0
1,23,爷来啦,,0
0,23,我想啸,赫兹爱吃,0
1,23,这时长，爱了爱了,,0
1,23,都是VIP  嚣张点,ELEGIMOSLA,0
0,24,范丞丞,,2
4,24,丞丞加油，冲鸭,,2
3,24,每周必打卡致郁系节目,,0
2,24,爱了时长,,0
2,24,深深深深深深深,🥕🥕🥕,0
0,24,打卡,淺酔,0
0,25,有在看的吗？弱弱问一句（x_x；）,扶苏,0
2,25,啊啊啊啊啊啊,,0
5,25,深哥,,0
1,26,范丞丞妈妈爱你,,0
3,26,令人自卑的offer我来啦,,0
2,26,爱了时长,哄哄,0
0,26,终于等到你,,0
1,26,时长很满意,,2
0,26,来了来了,海盐奶盖,0
4,26,周深我来啦,,2
0,27,俊凯俊凯俊凯！！！！,偏偏意气用事.,0
4,27,。,,0
1,27,两小时多太好了,,0
4,27,这么长！,,0
4,27,时长舒适,,0
2,28,郭律郭律我来啦,,2
0,28,我支持丁辉，太不容易了。,莉,0
4,28,2个半小时好评啊,黄诣恩,0
3,28,周深！！！！！！！！！！！,周[可爱极了]深,0
0,29,这广告违规了吧,JY,1
0,29,特意开VIP看,聃妮芭卟13874515430,0
5,29,每周三 致郁系 节目  打工人 也是分等级的,杨佳铖,1
4,29,都是vip，嚣张点,ā á ǎ à,0
2,29,来看深深了,🥕🥕🥕,0
2,29,深宝我来了,,0
0,30,普通人没有高光时刻,,0
4,30,来了,,0
5,30,下周三才出 今天就出了？,,2
0,30,撒老师,现在去见你,0
4,30,还有五千的广告,,0
1,30,考研的来看看,justin炜,0
3,30,周深 周深,ღ,0
1,31,我来了我来了,,0
6,31,干啥啥不行，自卑第一名,ベ☆小强呐,4
6,31,时长很满意,,0
6,31,来看深深了,瘠薄、,0
1,31,啊啊啊啊俊凯！,宇宙最乖,0
5,31,2个半小时好评啊,,0
4,31,来挺早,,0
3,31,第一,,0
1,31,时长好爱[狗头offer],小奕宝贝,0
5,32,来了来了来了来了来了来了来了冲冲冲一个星期搓手手,,0
6,32,来了来了，会员抢先看都给我豪横点,,11
3,32,这时长,,0
5,32,两个半小时！！！！！周深周深周深,,0
6,32,提前来看,Mi Manchi,0
5,32,每周必打卡致郁系节目,懵小珏🎀🎶,1
6,32,这时长爱了,,0
5,33,来啦来啦,,0
3,33,徐律 我来了,,0
5,33,周深周深！！,.yinG,3
5,33,。,,0
3,33,来看范丞丞 范丞丞,゛谁说女人要斯文。,2
0,33,丞丞！！,～(^_^)～☆,0
5,33,腾讯大爱不准时呀,,0
0,33,哎呦，王俊凯代言的,賏,12
0,34,深深深深深深深深深深深深深深,,1
1,34,终于等到你,云,0
6,34,来了来了,,0
3,34,丁辉冲呀,江江,0
1,34,我爱时长,柒夏(*^ω^*),1
6,35,干饭鹅 : 我,,0
0,35,每周必打卡致郁系节目,L.,0
2,35,哈哈,,0
1,35,深深，来了来了,Ling,0
0,36,凯凯,暗魅,0
1,36,周深周深！！,&,0
1,36,丞丞！！！,,0
5,36,时长很满意,,0
4,37,周深周深！！,,0
3,37,丞丞我来了,,1
0,37,来啦来啦,嬴政w,0
2,37,两个半钟！！！爱了啊啊啊啊啊啊啊啊,,0
4,37,进度条感人,,0
3,37,都是vip,酒窝,0
0,38,还是喜欢第一季的8个人，想念他们,the brightest star ✨,0
0,38,深深丞丞我来了啊啊啊啊啊啊啊啊,淞湘漓沅,0
5,38,这个时长,,0
2,38,6666,,0
1,38,两个半小时啊哈哈,清醒,0
2,38,许光汉！！！,木木子,0
4,38,全部回去做事。,抚剑丶凤凰,0
1,39,周深周深,,0
3,39,丁辉冲呀,Summer,0
0,39,来看范丞丞 范丞丞,,0
1,39,提前了，老粉来了,,0
2,39,哎呦，王俊凯代言的,,1
0,40,哎呦，王俊凯代言的,小丸子.,0
3,40,2个半小时好评啊,,1
2,40,这时长绝了,,1
6,40,干啥啥不行，自卑第一名,,0
6,40,时长感人呀,,7
0,40,王俊凯哇！！！！！,pamper,4
3,40,指北针来了,鹏发-LED灯饰灯具批发,0
4,41,周深周深,何ᥬ 👽ᩤ求,0
0,41,我爱康师傅[加油],,2
0,41,君合的傲慢和偏见,皇帝李升基、,1
6,41,来看范丞丞 范丞丞,,2
3,41,来看了,Archon20508,5
0,41,深深深深深深深深深深深深深深,星空,0
3,41,时长爱了,,0
0,42,这个时长爱了爱了,L.,2
3,42,来了来了 人类填数人来了,,0
6,42,啊啊啊啊啊啊丞哥我来啦,,6
0,42,第三季没何老师来这看看,北巷以北,0
1,43,周深深，我来咯,,4
0,43,来喽来喽范丞丞,女(๑• . •๑)孩,1
6,43,王一博怎么不来,,0
3,43,加油，打工人,,0
1,43,前方高能，真真真学霸王骁高能出场,Ice Queen.,8
0,44,一叶知秋,,0
6,44,喜欢,,0
2,44,撒老师我来了,,2
0,44,福西西！！！！,,0
0,45,丞丞我来了！,,1
6,45,我才是第一,,1
5,45,哈哈,Mr.Right,0
5,45,加油打工人！,,0
5,45,终于等到你，还好没有放弃,,1
7,45,钰钰我也在看呢,🍀🌻慧🌻🍀,1
1,45,好爱秋怡,去南极偷企鹅,0
5,46,这个时长爱了爱了,,1
0,46,范丞丞,Estelle.,0
6,46,隔壁,,0
0,46,三刷三刷！[撒明灯offer][撒明灯offer],甜芷.,0
0,47,范丞丞啊啊啊,单,0
1,47,这是VIP吗,,0
3,47,2个半小时好评啊,,0
5,48,表白我何运晨！！！！！！！！！！！,,29
0,48,福西西加油,林深起雾时,3
3,48,加油，打工人,凉意,2
5,48,来了,,0
5,49,哈哈哈哈哈,,0
2,49,周深周深,,0
1,50,三刷来啦,不争馒头争口气,0
1,50,深深大宝贝我来啦,睦之月,3
5,50,2个半小时， 看过瘾,醉心的消息,1
0,50,干饭人,,0
0,50, 何运晨 谁还记着,,15
0,51,来看细化的节目和丞丞,🍋,0
3,51,周深深，我来咯,,1
6,51,有点意思,,0
4,51, 我才是第一,张鑫,0
2,52,来了来了,,0
2,52,凡尔赛,一一,0
1,52,英语厉害了,My Betty*,0
2,53, 来看芳心纵火犯,,3
6,53,双北我来了,,3
1,53,来了,美好,0
6,53,王一博,,0
1,54,周深周深,,0
1,54,我要把深深的综艺看个遍,,0
4,54,深深深深,,2
0,55,表白我何运晨！！！！！！！！！！！,\(^o^)/~馨,1
0,55,那个开门的瞬间背影真的超级像邓冰莹姐姐！！！,凤安,0
5,56,哈哈,Mr.Right,0
4,56,徐律气质爱了,,0
0,56,范丞丞我来啦！,,1
0,56,Bgm都变了,~＿~,0
0,56,等三更新的期间，回来刷,,0
2,57,范丞丞范丞丞范丞丞范丞丞范丞丞,哎呦喂@,10
5,57,深深深深,,3
4,57,不要瞎说瞎想了。,抚剑丶凤凰,3
0,57,许光汉,,0
0,57,晚上好各位！,攒一口袋星星,1
0,58,周深深，我来咯,Charlotte_初雪叻_生米,0
0,58,徐律,,0
1,58,咸鱼 : 这个咸鱼太适合我了,🐻,0
0,58,双北我来了,Puppet°,0
4,58,Bgm都变了,Après,0
1,58,王骁 来了来了,盛世如你じ,1
3,58,自带BGM的蓝人,,1
5,58,表白我何运晨！！！！！！！！！！！,昔梦,0
0,59, 来看芳心纵火犯,,2
1,59,表白我何运晨！！！！！！！！！！！,Eleven,9
1,60,丞丞,简约,0
0,60,深勒个深啊，米来啦,,2
0,60,斯坦福学霸好像王安宇，帅,茜爷,0
2,60,这个时长我喜欢 哈哈哈哈,为时不晚i,1
5,60,表白我何运晨！！！！！！！！！！！,,0
4,60,诶，自卑啊,,0
1,60,范丞丞,,2
0,60,哈哈哈哈哈哈,琦琦,2
5,61,了,,0
0,61,啊啊啊范丞丞来啦来啦,‍​‌‎‏‎⁠,3
0,61, 何运晨 谁还记着,多长头发少吃肉,0
5,62,Bgm都变了,,5
5,62,老凡尔赛人了,,15
0,62, 何运晨 谁还记着,蓝莲儿😜,0
2,63,来了，很喜欢这个精彩的节目,,3
2,63,冲冲冲，圈粉了,,3
0,63,    何晨希,,2
4,63,哇塞！大学霸！,糖小糖,0
1,63,现在要更加努力啊,,1
4,63,周深深，我来咯,,0
0,63,深深深深深深,,0
6,63,来了来了来了来了来了来了,,0
3,64,啥时候播的啊！让我没有一点点防备，太高兴了,,4
0,64,丁辉，是很多普通人的影子，挺你。,莉,0
4,65,草哥的铁血战士们来了吗！,,2
2,65,为撒老师来,,1
0,65,综艺是个好综艺，可惜只有六分钟,,8
1,65,来了，很喜欢这个精彩的节目,杨彬,1
0,65,来看王骁了,MIA.沫,0
0,65,表白我何运晨！！！！！！！！！！！,蓝莲儿😜,0
3,66,范丞丞,ix .,3
0,66,丞丞来了,,1
5,66,到王骁bgm都不一样了,梨琴,0
0,66,第三个面试官不好惹,,1
0,66,到王骁bgm都不一样了,小丸子.,0
5,66,学霸,,4
1,67,周深深，我来咯,,0
1,67,表白我何运晨！！！！！！！！！！！,costa,1
0,67,王骁 来了来了,神马不是浮云,3
5,67,来了,,0
6,67,双北，我来啦,,3
4,67,深深我来了,,0
5,68,翟同学就是传说中混了个洋文凭的人,,13
0,68,颜值不如第一季,不再悲伤，遗忘,0
1,68,李晋晔啊啊啊啊啊啊,ccyyy,0
1,68,深深深深深深,,0
1,68,豪横滴的我,Eleven,1
2,68,唉 还是抵不过何运晨,77-,6
0,68,周深深，我来咯,。。。,0
2,69,王骁 来了来了,,0
0,70,为了看这个我开了一个会员,英语,1
8,70,学霸[瑞思拜],,2
0,70,老凡尔赛人了,shine!☆☆☆,0
2,70,冲冲冲，圈粉了,Hasta🌃,0
4,70, 何运晨 谁还记着,,50
0,70,深深我来了,卡布叨_周浅,1
0,70,周深来看你了,剑来,12
1,71,何运晨男神 何运晨男神,Qui,1
2,71,学霸,,1
0,71,表白我何运晨！！！！！！！！！！！,l’ cherish ,0
1,72,哇塞！大学霸！,,0
1,72,生米报道,望月阁,0
5,72,双北，我来啦,,8
5,72,看了这个节目之后，感觉我这28年来都白活了🌚,,1
0,72,到王骁bgm都不一样了,Lethe,0
0,73, 周深周深！！！！,神马不是浮云,14
3,73,222222,都选c,0
0,73,颜值不如第一季,Wmmmmmmm~,0
0,74,啊啊啊啊啊啊,.,3
1,74,深深，妈妈来看你啦！,嗯呐,0
4,74,爷青回,,0
3,74,翟同学就是传说中混了个洋文凭的人,,12
1,75,简单的自我介绍,🌙,5
0,75,我一直发 你看的见吗 婗婗,,1
1,75,来了,,0
5,76,何运晨男神 何运晨男神,,0
2,76,希望可以和优秀的人们并肩同行,柚稚i,5
5,77,唉 还是抵不过何运晨,,2
3,77,深深我又来了,小欣,0
3,77,说英语感觉好牛批,BABY,0
7,77,又来提醒自己活着一点用都没有,,25
5,78,深深我来了,,0
0,78,周深来看你了,,0
0,78,来了来了,阳光,1
1,78,[6周年][6周年]磕死夜宵CP！！！,huangsiyu oye,12
1,78, 何运晨 谁还记着,,0
3,78,李晋晔好帅,,2
0,78,深深，妈妈来看你啦！,余生安好,0
0,78,邓冰莹，大家还记得吗,一只猫的旅行 ヾ,1
6,78,还是律师啊,,1
1,78,到王骁bgm都不一样了,,0
0,78,丁辉逆袭,,8
1,80,丞丞,,0
6,80,这里肯定有一个和小何一样调动气氛和情商高的人,,6
0,80,我喜欢李,听说,0
