uservip_degree,timepoint,content,opername,upcount
4,25,上期突然结束 就是不公布排名 气死我了,佩儿为俊凯亮灯,0
3,26,啊啊啊终于来啦,Lullaby.,0
3,26,我来了,莪就是伱、唯壹,0
1,26,追起来,冉,0
6,26,这是一个让人看了很容易自卑的综艺啊！,Cancer,9
5,26,小何给我冲鸭,@L,22
4,27,现实很残酷，竞争很激烈。,🎈小公举ʕ๑•ɷ•๑ʔ,17
0,27,弹幕来了,M,0
3,27,小何冲鸭，超级看好你,　伊離° ,30
4,27,这是一个让人看了就会自卑的综艺,ztlpl,1
0,27,第四季是设计师也蛮好,兔八哥,0
6,27,谁是第一啊好奇,立面图的简化,0
0,27,喜欢小何，李晨,Aioel,0
1,28,小何冲鸭，看好你哦,所以呢,0
4,28,太自卑了吧,Luer,1
3,28,小何要加油哦，看好你,维维家的弟弟,0
1,28,来学习来了,上心趣话,0
4,28,甲总 我来看小何了！,林栖动物,0
3,28,我先pick小何，是何炅的何！！,谎言°,0
5,28,这是一个让人看了很容易自卑的综艺啊！,@L,57
4,28,我来看心动的信号职场版,壳儿,25
5,28,小何冲呀，最看好你了,小宇宙,0
0,29,这是一个让人看了就会自卑的综艺,凉屿i,0
0,29,看好小何，小何加油！,十二.🌈,0
3,29,小何冲鸭，非常看好你,淡淡的心情,3
1,29,周震南我来啦,一南(njx),0
3,29,为了我南总而来,浮若年华,8
5,29,优秀的人太多啦,皎月,0
3,29,各位学霸加油,K&Z,2
6,29,加油，不管是职场新人还是南南,Devilbaby,0
0,29,周震南我来啦！,耗子扛枪找猫,0
5,29,星娱乐法观影团来了,keven,0
1,29,啊哈哈哈，等到第二期啦,顺顺南,0
6,30,来看这个令人自卑的综艺咯,淘宝下单前找我领优惠券,47
5,30,哎，都是优秀的人，我能怎么办,,3
0,30,爱上这个节目,Me,1
0,30,刘欢你看不看得到,眺望未来,0
0,30,小何冲呀,  Knight,0
0,30,第一次觉得一周这么长,蝴蝶的乐章,0
5,30,小何冲吧,🌸🍐🐅🔥,0
6,30,这就是学霸的聚会吧,路人！,1
2,30,前排来围观心动的信号职场版了！,谎话很甜.,0
7,30,还是很残酷的,小生,11
2,30,大家好，我是来看南南的,ℱ. 叶子✦ღ,1
6,31,这节目对我这种人作用太大了,NO you   NO me,0
1,31,小何冲吧，我支持你,施昌富,0
1,31,这节目还真挺有意思的,容景,0
4,31,加油，不管是职场新人还是南南,Mark,0
3,31,点到特约版了，就奇怪怎么没人😂,风吹散过,0
4,32,小何要加油哦，看好你,👉铿锵玫瑰👈,1
4,32,粥南南我来了,于,0
3,32,我先pick小何，是何炅的何！！,孤独与寂寞,1
7,32,也是一个很历练的机会,小生,30
5,33,卫庄的声音,来美团搜稀饭,0
3,33,我要一直追好看,小亮,0
4,33,呜呜呜,Luer,2
3,33,我又来看这个我看了会自卑的综艺了,念,2
2,33,超期待第二期！,南极野柯基,0
4,33,这是一个让人看了很容易自卑的综艺啊！,W·Q,2
4,33,我来看心动的信号职场版,xinyiiii,4
5,33,超级好看的职场真人秀,維獨赖伱,0
1,34,我很看好小何呢,52Hertz,0
6,34,我又来看这个我看了会自卑的综艺了,,3
3,34,郭京飞你吃了啥？,十一年的网名被迫改掉,0
7,34,超喜欢何老师的说,小生,11
0,34,能学习一些法律知识挺不错的，还能有所收获,.静轩,0
6,34,6,旋律,0
3,34,毕业生来啦,Lullaby.,0
3,34,看学霸们都这么难，我整个人都不好了,K&Z,42
0,34,我也想当律师啊啊啊,,0
5,35,这是一个让人看了就会自卑的综艺,不惊🍯,0
5,35,这节目对毕业生真有用,@L,22
0,35,我本来为周震南，可是这个节目真的值得看 ,s～～,3
4,35,我下个星期也要面试希望能成功,,1
2,35,小何冲啊看好你,简单是、幸福,25
2,35,蛮蛮我来了,周周南.,0
3,35,这节目还真挺有意思的,浮若年华,5
4,36,看了我都自卑了,软,0
0,36,来了来了医学生,兮兮乐,0
6,36,又到了学霸们聚在一起happy的时间了,鸡蛋。,44
7,36,何老师情商是真的高,小生,17
0,36,毛毛老师的声音,Sophie,0
5,36,这是一个让人看了很容易自卑的综艺啊！,2,0
6,36,超级好看的职场真人秀,寂寞,0
3,36,星娱乐法观影团报到!,常晶,0
5,37,这个综艺看了真自卑,@L,40
2,37,小何冲冲冲,Licht.,1
4,37,这跑步挺有趣的,sin丶cera,0
5,37,不喜欢李浩沅,黑色星期八,0
3,37,坐在电脑前等候,浮若年华,3
0,38,这个节目有意义,TiAmo,0
5,38,只有我觉得王律师跟徐海乔很像吗？,指尖、流年、,4
6,38,我来看心动的信号职场版,寂寞,0
0,38,正常来说选上期那两个就完事了,SAucE✘,0
0,38,周震南我来了,n。,1
5,38,何运晨啊！！！！,瑾年,0
5,38,看好小何的举个爪子,。,1
6,39,看学霸们都这么难，我整个人都不好了,Juice✨,19
0,39,来看这个令人自卑的综艺咯,阿易.,0
0,39,这就是学霸的聚会吧,是滴呐,0
7,39,很有意义,小生,4
6,39,小何 加油啊,雨沫琛,15
4,39,这个综艺看了真自卑,kk,0
4,39,看了我都自卑了,一位不愿意透露姓名的陈某,0
5,39,加油,早晚,4
6,39,我是自虐狂，我来看这个综艺了,淘宝下单前找我领优惠券,25
4,39,这里的人都过分优秀了,W·Q,0
2,40,我很看好小何呢,阿斗,1
3,40,还是很残酷的,∮榆木稚年,0
0,40,1,M,0
2,40,这是一个让人看见会自卑的综艺,简单是、幸福,36
3,40,小何冲鸭，超级看好你,浮若年华,10
3,40,小何冲呀，最看好你了,软心肠的硬骨头,0
5,40,小板凳放好了，零食饮料摆好了，开整！,時間有淚💦♒,0
5,40,人家这才是大学生，再看看我们。哎,吴文平,3
3,41,希望能学到职场知识呀,Lullaby.,0
7,41,感觉八位实习生神仙打架呀,小生,17
4,41,这节目对毕业生真有用,半生少年,0
6,41,这是一个让人看了就会自卑的综艺,没有昵称的昵称,2
5,41,又来膜拜各学霸大神了,_Smile、,0
6,41,都很漂亮,柒,0
1,42,北大博士能看上这个工作吗,,0
3,42,我觉得我不配看这个节目🙃,颜落清mio,6
4,42,喜欢何运晨，加油💪,*懿宝贝*,1
0,42,我又来看这个我看了会自卑的综艺了,Bellis perennis,0
1,42,来咯来咯！,班豆,0
6,42,又到了学霸们聚在一起happy的时间了,沧笙。,0
0,43,这就是学霸的聚会吧,范丞丞的小粉丝儿~,0
6,43,这里的人都过分优秀了,寂寞,0
2,43,学霸们的日常太嗨了,简单是、幸福,8
1,43,实习的课题,@,0
2,43,林贤书和李浩源很像,旧日好友,0
1,43,节目是真的好看啊,雷克雅未克,7
3,43,现实很残酷，竞争很激烈。,TING,3
3,43,梅桢小姐姐看好你，冲啊！,。,30
4,43,这个综艺看了真自卑,´ Face king  、余生 `,0
1,43,粥粥南我来啦,source,1
3,44,学渣请求出战，日常被虐,枕边书,1
3,44,这是一个让人看见会自卑的综艺,遇见,0
5,44,何运晨啊！！！！,虚伪,0
1,44,这绝对是一个让人看了之后会自卑的综艺,Keep On,1
1,44,何运晨啊！！！！, apple,1
0,45,我觉得第一是小何，法官角度真的很重要,姚池恩,0
0,45,看到他们之后发现自己活在世界上就是来凑数的,Nathan* 🐝,1
1,45,我来看papi酱的,繁花似锦觅安宁,0
2,45,小何冲啊看好你,弦音落子,0
4,45,希望小李能蜕变,长不大的怪小孩,0
1,45,李浩源,Sang,0
2,45,何老师情商是真的高,,0
